turnid	ROUGE1-R	MRR	Exact match	F1
67_7	1.000000		0.000000	0.150943
67_8	0.833333		0.000000	0.205128
67_9	1.000000		0.000000	0.105263
67_10	1.000000		0.000000	0.064516
67_11	1.000000	0.142857	0.000000	0.263158
68_2	0.900000			
68_3	0.857143	0.500000	0.000000	0.250000
68_4	1.000000	0.000000	0.000000	0.000000
68_5	1.000000	0.166667	0.000000	0.117647
68_6	1.000000	1.000000	0.000000	0.677966
68_7	1.000000		0.000000	0.196078
68_8	1.000000	0.000000	0.000000	0.000000
68_9	0.750000	0.250000	0.000000	0.166667
68_10	1.000000		0.000000	0.137931
68_11	1.000000	0.500000	0.000000	0.103896
69_2	0.500000	0.000000	0.000000	0.066667
69_3	1.000000		0.000000	0.344828
69_4	0.875000	0.000000	0.000000	0.184615
69_5	1.000000		0.000000	0.080000
69_6	1.000000	1.000000	0.000000	0.254545
69_7	1.000000	0.000000	0.000000	0.311688
69_8	0.875000		0.000000	0.081081
69_9	1.000000		0.000000	0.186047
69_10	0.714286	0.333333	0.000000	0.203390
70_2	0.750000		0.000000	0.275862
70_3	1.000000		0.000000	0.176471
70_4	1.000000		0.000000	0.270270
70_5	1.000000		0.000000	0.185185
70_6	0.888889		0.000000	0.774194
70_7	1.000000	0.000000	0.000000	0.109091
70_8	0.857143		0.000000	0.561404
70_9	0.625000		0.000000	0.101695
70_10	1.000000	0.000000	0.000000	0.164384
71_2	1.000000		0.000000	0.000000
71_3	1.000000	0.166667	0.000000	0.130435
71_4	0.857143	1.000000	0.000000	0.285714
71_5	0.875000	0.000000	0.000000	0.097561
71_6	0.500000	0.000000	0.000000	0.111111
71_7	0.900000	0.500000	0.000000	0.259259
71_8	0.400000	0.000000	0.000000	0.222222
71_9	1.000000	0.500000	0.000000	0.000000
71_10	1.000000	0.500000	0.000000	0.229508
71_11	1.000000	0.333333	0.000000	0.146341
71_12	1.000000		0.000000	0.166667
72_2	1.000000		0.000000	0.088235
72_3	0.375000		0.000000	0.000000
72_4	0.833333	0.000000	0.000000	0.142857
72_5	0.750000	0.166667	0.000000	0.222222
72_6	1.000000	0.000000	0.000000	0.185185
72_7	1.000000		0.000000	0.350877
72_8	0.666667	0.166667	0.000000	0.176471
72_9	0.875000	1.000000	0.000000	0.604651
72_10	0.555556	0.000000	0.000000	0.133333
73_2	1.000000	0.000000	0.000000	0.078431
73_3	1.000000	0.000000	0.000000	0.357143
73_4	0.875000	1.000000	0.000000	0.821429
73_5	0.600000	0.000000	0.000000	0.181818
73_6	1.000000	0.100000	0.000000	0.303030
73_7	1.000000	1.000000	0.000000	0.843750
73_8	1.000000	0.111111	0.000000	0.000000
73_9	1.000000	0.000000	0.000000	0.000000
73_10	1.000000	0.000000	0.000000	0.173913
