turnid	ROUGE1-R	MRR	Exact match	F1	ROUGEL-F1
22_4	1.000000	0.500000	0.000000	0.315789	0.343750
22_5	1.000000	0.000000	0.000000	0.172414	0.193548
22_6	1.000000		0.000000	0.307692	0.200000
22_7	1.000000		0.000000	0.300000	0.260870
22_8	1.000000		0.000000	0.130435	0.150943
22_9	1.000000				
22_10	1.000000	0.000000	0.000000	0.390244	0.384615
23_2	0.875000	0.100000	0.000000	0.093023	0.125000
23_3	1.000000	0.000000	0.000000	0.039216	0.035088
23_4	1.000000	0.250000	0.000000	0.148148	0.101695
23_5	1.000000		0.000000	0.230769	0.148148
23_6	0.900000		0.000000	0.119403	0.112676
23_7	0.800000	0.000000	0.000000	0.277778	0.195122
23_8	1.000000	0.000000	0.000000	0.000000	0.000000
24_2	0.714286		0.000000	0.260870	0.163265
24_3	1.000000	0.333333	0.000000	0.226415	0.140351
24_4	0.600000	0.000000	0.000000	0.470588	0.352941
24_5	1.000000		0.000000	0.214286	0.200000
24_6	0.857143		0.000000	0.140845	0.166667
24_7	1.000000		0.000000	0.000000	0.000000
24_8	0.625000		0.000000	0.000000	0.000000
25_2	1.000000	0.333333	0.000000	0.170213	0.115385
25_3	1.000000	0.500000	0.000000	0.098765	0.068182
25_4	1.000000	0.000000	0.000000	0.050000	0.048780
25_5	1.000000		0.000000	0.225806	0.184615
25_6	1.000000		0.000000	0.095238	0.088889
25_7	0.875000		0.000000	0.037037	0.066667
25_8	0.888889	0.000000	0.000000	0.074074	0.093750
25_9	1.000000		0.000000	0.150000	0.162791
26_2	1.000000	0.000000	0.000000	0.200000	0.205882
26_3	1.000000	0.000000	0.000000	0.382979	0.307692
26_4	0.888889	0.000000	0.000000	0.139535	0.081633
26_5	0.857143	0.000000	0.000000	0.185185	0.158730
26_6	0.600000		0.000000	0.193548	0.147059
26_7	0.777778		0.000000	0.205128	0.173913
26_8	0.800000		0.000000	0.000000	0.000000
27_2	0.750000		0.000000	0.212766	0.254545
27_3	0.909091		0.000000	0.081633	0.105263
27_4	1.000000	0.000000	0.000000	0.145455	0.070175
27_5	0.833333		0.000000	0.245614	0.163934
27_6	1.000000		0.000000	0.240000	0.188679
27_7	1.000000		0.000000	0.181818	0.173913
28_2	0.714286		0.000000	0.142857	0.086957
28_3	1.000000		0.000000	0.145455	0.166667
28_4	1.000000		0.000000	0.000000	0.000000
28_5	1.000000		0.000000	0.206897	0.190476
28_6	1.000000				
28_7	1.000000		0.000000	0.177215	0.148936
29_2	0.666667	0.000000	0.000000	0.470588	0.500000
29_3	1.000000	0.000000	0.000000	0.235294	0.105263
29_4	1.000000		0.000000	0.250000	0.162162
29_5	0.833333	0.000000	0.000000	0.193548	0.095238
29_6	1.000000		0.000000	0.285714	0.333333
29_7	1.000000	0.000000	0.000000	0.160000	0.124138
29_8	0.888889	0.500000	0.000000	0.177778	0.190476
29_9	0.857143		0.000000	0.097561	0.204082
30_2	1.000000		0.000000	0.297872	0.196078
30_3	1.000000		0.000000	0.121212	0.136986
30_4	1.000000		0.000000	0.230769	0.203390
30_5	1.000000		0.000000	0.214286	0.181818
30_6	1.000000		0.000000	0.212121	0.135135
30_7	1.000000		0.000000	0.000000	0.000000
31_2	1.000000	0.000000	0.000000	0.162162	0.150000
31_3	1.000000		0.000000	0.327869	0.328358
31_4	0.833333		0.000000	0.122449	0.066667
31_5	1.000000		0.000000	0.179104	0.108108
31_6	1.000000		0.000000	0.177778	0.120000
31_7	1.000000	0.500000	0.000000	0.266667	0.228571
31_8	1.000000				
31_9	0.750000		0.000000	0.358974	0.367347
32_2	1.000000	0.000000	0.000000	0.222222	0.269231
32_3	1.000000	0.000000	0.000000	0.125000	0.216216
32_4	1.000000		0.000000	0.315789	0.222222
32_5	0.714286		0.000000	0.328767	0.197531
32_6	0.500000	0.000000	0.000000	0.222222	0.250000
32_7	0.800000	0.000000	0.000000	0.181818	0.200000
32_8	0.600000		0.000000	0.097561	0.083333
32_9	0.800000	0.500000	0.000000	0.259259	0.196721
32_10	0.800000	0.333333	0.000000	0.216216	0.250000
32_11	0.727273		0.000000	0.000000	0.000000
33_2	0.857143		0.000000	0.150943	0.187500
33_3	1.000000		0.000000	0.000000	0.000000
33_4	1.000000		0.000000	0.250000	0.185185
33_5	0.875000	0.500000	0.000000	0.256410	0.266667
33_6	0.916667		0.000000	0.315789	0.363636
33_7	0.900000		0.000000	0.222222	0.169492
33_8	0.727273		0.000000	0.285714	0.250000
33_9	0.785714		0.000000	0.125000	0.158730
33_10	1.000000	1.000000	0.000000	0.690909	0.707692
34_2	0.777778		0.000000	0.101695	0.171429
34_3	1.000000	0.000000	0.000000	0.111111	0.150000
34_4	0.700000	0.000000	0.000000	0.148148	0.131148
34_5	0.818182	0.000000	0.000000	0.102564	0.133333
34_6	0.714286	0.000000	0.000000	0.000000	0.000000
34_7	0.555556	0.000000	0.000000	0.000000	0.000000
34_8	0.714286	0.000000	0.000000	0.105263	0.085106
34_9	0.571429		0.000000	0.064516	0.111111
35_2	1.000000		0.000000	0.101266	0.105263
35_3	1.000000	0.500000	0.000000	0.203390	0.115942
35_4	0.777778		0.000000	0.000000	0.000000
35_5	1.000000		0.000000	0.208333	0.206897
35_6	0.875000		0.000000	0.157895	0.173913
35_7	1.000000		0.000000	0.033898	0.054795
35_8	1.000000		0.000000	0.041667	0.038462
35_9	1.000000	0.000000	0.000000	0.145455	0.202899
36_2	1.000000	0.000000	0.000000	0.237288	0.179104
36_3	1.000000		0.000000	0.205128	0.204082
36_4	1.000000		0.000000	0.578947	0.375000
36_5	1.000000		0.000000	0.163265	0.166667
